"rin_community","number_of_eligible_applicants","number_of_enrolled_learners","overall_enrollment_rate","number_of_networking_learners","completed_1st_modules.x","completed_all_modules.x","networking_course_participation_rate","networking_course_completion_rate","number_of_cybersecurity_learners","completed_1st_modules.y","completed_all_modules.y","cybersecurity_course_participation_rate","cybersecurity_course_completion_rate"
"Aberdeen",4,2,0.5,2,2,1,1,0.5,1,1,1,1,1
"Ada",27,16,0.592592592592593,12,5,3,0.416666666666667,0.25,10,3,3,0.3,0.3
"Chambers County",8,6,0.75,3,1,1,0.333333333333333,0.333333333333333,4,0,0,0,0
"Durango",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eastern Kentucky",1,1,1,1,0,0,0,0,0,0,0,NA,NA
"Independence",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kirksville",2,1,0.5,1,0,0,0,0,1,0,0,0,0
"Manitowoc County",1,1,1,1,1,1,1,1,1,1,1,1,1
"Nacogdoches",2,1,0.5,1,0,0,0,0,1,1,0,1,0
"Portsmouth",7,5,0.714285714285714,4,2,2,0.5,0.5,5,1,1,0.2,0.2
"Pryor Creek",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rutland",2,2,1,1,0,0,0,0,1,0,0,0,0
"Springfield",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Taos",8,4,0.5,1,0,0,0,0,3,0,0,0,0
"The Berkshires",6,3,0.5,2,1,0,0.5,0,3,0,0,0,0
"Traverse City",44,29,0.659090909090909,16,3,2,0.1875,0.125,20,2,0,0.1,0
"Wilson",44,29,0.659090909090909,20,6,2,0.3,0.1,17,0,0,0,0
"Total",161,100,0.62111801242236,65,21,12,0.323076923076923,0.184615384615385,67,9,6,0.134328358208955,0.0895522388059701
